"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"281","162-87302",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,642
"282","162-87303",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0572,539
"283","162-87304",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.118,700
"284","162-87305",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.072,560
"285","162-87306",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,570
"286","162-87307",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,462
"287","162-87332",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,400
"288","162-87333",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0255,400
"289","162-87334",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1999,575
"290","162-87335",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,450
"291","162-87336",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,635
"292","162-87337",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.069,620
